Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
EI-267,tyrphostin AG-825,397.5,6-F02,6,Plate 2,F02,EnzoICCB2,SP0128,K04,Tyrphostin AG-825 - kinase inhibitor,ICCB Known Bioactives Library,12.6,Kinase inhibitors:  HER-1;2 tyrosine kinase inhibitor,DMSO,2840,Tyrphostin AG-825 - kinase inhibitor
EI-199,KT-5720,423.5,5-F03,5,Plate 1,F03,EnzoICCB2,SP0128,K05,KT-5720 - kinase inhibitor,ICCB Known Bioactives Library,1.18,Kinase inhibitors:  PKA inhibitor,DMSO,2840,KT-5720 - kinase inhibitor
NA-136,Kavain (+/-),230.3,6-F03,6,Plate 2,F03,EnzoICCB2,SP0128,K06,Kavain (+/-) - voltage-dependent Na channel inhibitor,ICCB Known Bioactives Library,21.7,Ion channel ligands:  voltage-dependent Na channel inhibitor,DMSO,2840,Kavain (+/-) - voltage-dependent Na channel inhibitor
G-242,L-744;832,559.8,5-F04,5,Plate 1,F04,EnzoICCB2,SP0128,K07,L-744;832 - farnesylation inhibitor,ICCB Known Bioactives Library,8.93,Inhibitors:  Ras farnesyltransferase inhibitor,DMSO,2840,L-744;832 - farnesylation inhibitor
AP-300,TPEN,424.5,6-F04,6,Plate 2,F04,EnzoICCB2,SP0128,K08,TPEN - cell permable heavy metal chelator,ICCB Known Bioactives Library,11.8,Inhibitors:  cell permable heavy metal chelator,DMSO,2840,TPEN - cell permable heavy metal chelator
CN-255,Furoxan,187.2,5-F05,5,Plate 1,F05,EnzoICCB2,SP0128,K09,Furoxan - NO donor,ICCB Known Bioactives Library,26.7,Activators:  NO donor,DMSO,2840,Furoxan - NO donor
GR-309,trichostatin-A,302.4,6-F05,6,Plate 2,F05,EnzoICCB2,SP0128,K10,Trichostatin-A - histone deacetylase inhibitor,ICCB Known Bioactives Library,16.5,Inhibitors:  histone deacetylase inhibitor,DMSO,2840,Trichostatin-A - histone deacetylase inhibitor
T-110,Latrunculin B,395.5,5-F06,5,Plate 1,F06,EnzoICCB2,SP0128,K11,Latrunculin B - actin poison,ICCB Known Bioactives Library,12.6,Inhibitors:  Actin inhibitor,DMSO,2840,Latrunculin B - actin poison
CA-310,trifluoperazine,480.4,6-F06,6,Plate 2,F06,EnzoICCB2,SP0128,K12,Trifluoperazine - dopamine antagonist,ICCB Known Bioactives Library,10.4,Inhibitors:  calmodulin inhibitor-possibly only at high concentrations!,DMSO,2840,Trifluoperazine - dopamine antagonist
EI-185,Lavendustin A,381.4,5-F07,5,Plate 1,F07,EnzoICCB2,SP0128,K13,Lavendustin A - kinase inhibitor,ICCB Known Bioactives Library,13.1,Kinase inhibitors:  Tyrosine kinase inhibitor EGF-R),DMSO,2840,Lavendustin A - kinase inhibitor
CC-104,tunicamycin,718.7,6-F07,6,Plate 2,F07,EnzoICCB2,SP0128,K14,Tunicamycin - protein glycosylation inhibitor,ICCB Known Bioactives Library,6.96,Inhibitors:  glycosylation inhibitor,DMSO,2840,Tunicamycin - protein glycosylation inhibitor
CC-202,N9-Isopropylolomoucine,326.4,5-F08,5,Plate 1,F08,EnzoICCB2,SP0128,K15,N9-Isopropylolomoucine - kinase inhibitor,ICCB Known Bioactives Library,15.3,Kinase inhibitors:  CDC-2 kinase inhibitor,DMSO,2840,N9-Isopropylolomoucine - kinase inhibitor
PI-143,Nafamostat mesylate ,443.5,6-F08,6,Plate 2,F08,EnzoICCB2,SP0128,K16,Nafamostst mesylate - protease inhibitor,ICCB Known Bioactives Library,11.3,Inhibitors:  Serine protease inhibitor,DMSO,2840,Nafamostst mesylate - protease inhibitor
PI-118,Leupeptin,426.6,5-F09,5,Plate 1,F09,EnzoICCB2,SP0128,K17,Leupeptin - protease inhibitor,ICCB Known Bioactives Library,11.7,Protease inhibitors:  protease inhibitor,DMSO,2840,Leupeptin - protease inhibitor
EI-263,tyrphostin AG-126,215.2,6-F09,6,Plate 2,F09,EnzoICCB2,SP0128,K18,Tyrphostin AG-126 - kinase inhibitor,ICCB Known Bioactives Library,23.2,Kinase inhibitors:  tyrosine kinase inhibitor,DMSO,2840,Tyrphostin AG-126 - kinase inhibitor
EI-278,BAY 11-7082,207.2,5-F10,5,Plate 1,F10,EnzoICCB2,SP0128,K19,Bay 11-7082 - kinase inhibitor,ICCB Known Bioactives Library,24.1,Inhibitors:  Inhibits IKK kinase activation,DMSO,2840,Bay 11-7082 - kinase inhibitor
EI-190,tyrphostin 1,184.2,6-F10,6,Plate 2,F10,EnzoICCB2,SP0128,K20,Tyrphostin 1 - phosphatase inhibitor,ICCB Known Bioactives Library,27.1,Inhibitors:  Calcineurin inhibitor,DMSO,2840,Tyrphostin 1 - phosphatase inhibitor
PR-113,Tyrphostin-8,170.2,5-F11,5,Plate 1,F11,EnzoICCB2,SP0128,K21,Tyrphostin-8 - calcineurin inhibitor,ICCB Known Bioactives Library,29.4,Inhibitors:  Calcineurin inhibitor,DMSO,2840,Tyrphostin-8 - calcineurin inhibitor
EI-215,tyrphostin 9,282.4,6-F11,6,Plate 2,F11,EnzoICCB2,SP0128,K22,Tyrphostin 9 - kinase inhibitor,ICCB Known Bioactives Library,17.7,Kinase inhibitors:  PDGF-R tyrosine kinase inhibitor,DMSO,2840,Tyrphostin 9 - kinase inhibitor
CN-242,L-NAME,233.2,5-G02,5,Plate 1,G02,EnzoICCB2,SP0128,M03,L-NAME - NOS inhibitor,ICCB Known Bioactives Library,21.4,Inhibitors:  NO synthesis inhibitor,DMSO,2840,L-NAME - NOS inhibitor
ST-391,U73122,464.6,6-G02,6,Plate 2,G02,EnzoICCB2,SP0128,M04,U73122 - phospholipase inhibitor,ICCB Known Bioactives Library,10.8,Lipid biosynthesis:  PLC inhibitor,DMSO,2840,U73122 - phospholipase inhibitor
ST-420,LY-294002,307.3,5-G03,5,Plate 1,G03,EnzoICCB2,SP0128,M05,LY-294002 - kinase,ICCB Known Bioactives Library,16.3,Lipid biosynthesis:  PI-3-Kinase inhibitor,DMSO,2840,LY-294002 - kinase
EI-282,U-0126,380.5,6-G03,6,Plate 2,G03,EnzoICCB2,SP0128,M06,U-0126 - kinase inhibitor,ICCB Known Bioactives Library,13.1,Kinase inhibitors:  MEK inhibitor,DMSO,2840,U-0126 - kinase inhibitor
CN-200,LY-83583,250.3,5-G04,5,Plate 1,G04,EnzoICCB2,SP0128,M07,LY-83583 - guanylate cyclase inhibitor,ICCB Known Bioactives Library,20,Inhibitors:  Inhibits NO-activation of guanylate cyclase ,DMSO,2840,LY-83583 - guanylate cyclase inhibitor
KC-140,valinomycin,1111.3,6-G04,6,Plate 2,G04,EnzoICCB2,SP0128,M08,Valinomycin - K+ ionophore,ICCB Known Bioactives Library,4.5,Ion channel ligands:  K+ ionophore,DMSO,2840,Valinomycin - K+ ionophore
EI-293,5-Iodotubercidin,392.1,5-G05,5,Plate 1,G05,EnzoICCB2,SP0128,M09,5-Iodotubercidin - kinase inhibitor,ICCB Known Bioactives Library,12.8,Kinase inhibitors:  ERK-2 inhibitor,DMSO,2840,5-Iodotubercidin - kinase inhibitor
T-116,vinblastine,909.1,6-G05,6,Plate 2,G05,EnzoICCB2,SP0128,M10,Vinblastine - microtubule poison,ICCB Known Bioactives Library,5.5,Inhibitors:  tubulin inhibitor,DMSO,2840,Vinblastine - microtubule poison
EI-177,Manoalide,416.6,5-G06,5,Plate 1,G06,EnzoICCB2,SP0128,M11,Manoalide - phospholipase inhibitor,ICCB Known Bioactives Library,12,Lipid biosynthesis:  Phospholipase A2 inhibitor,DMSO,2840,Manoalide - phospholipase inhibitor
CA-320,W7,377.3,6-G06,6,Plate 2,G06,EnzoICCB2,SP0128,M12,W7 - calmodulin inhibitor,ICCB Known Bioactives Library,13.3,Inhibitors:  calmodulin antagonist,DMSO,2840,W7 - calmodulin inhibitor
G-236,Manumycin A,550.6,5-G07,5,Plate 1,G07,EnzoICCB2,SP0128,M13,Manumycin A - farnesylation inhibitor,ICCB Known Bioactives Library,9.08,Inhibitors:  ras farnesylation inhibitor,DMSO,2840,Manumycin A - farnesylation inhibitor
ST-415,wortmannin,428.4,6-G07,6,Plate 2,G07,EnzoICCB2,SP0128,M14,Wortmannin - kinase inhibitor,ICCB Known Bioactives Library,11.7,Lipid biosynthesis:  PI-3Kinase; other kinases inhibitor,DMSO,2840,Wortmannin - kinase inhibitor
G-410,Mastoparan,1688.6,5-G08,5,Plate 1,G08,EnzoICCB2,SP0128,M15,Mastoparan - activates heterotrimeriuc GTPases,ICCB Known Bioactives Library,2.96,Activators:  activates heterotrimeriuc GTPases,DMSO,2840,Mastoparan - activates heterotrimeriuc GTPases
EI-299,Y-27632,247.3,6-G08,6,Plate 2,G08,EnzoICCB2,SP0128,M16,Y-27632 - kinase inhibitor,ICCB Known Bioactives Library,20.2,Kinase inhibitors:  ROCK inhibitor,DMSO,2840,Y-27632 - kinase inhibitor
FR-103,MCI-186,174.2,5-G09,5,Plate 1,G09,EnzoICCB2,SP0128,M17,MCI-186 - antioxidant,ICCB Known Bioactives Library,28.7,Inhibitors:  antioxidant; cytoprotectant,DMSO,2840,MCI-186 - antioxidant
AC-161,yohimbine,390.9,6-G09,6,Plate 2,G09,EnzoICCB2,SP0128,M18,Yohimbine - alpha adrenergic antagonist,ICCB Known Bioactives Library,12.8,CNS receptor ligands:  Adrenoreceptor antagonist (alpha),DMSO,2840,Yohimbine - alpha adrenergic antagonist
PI-129 ,Gliotoxin,326.4,5-G10,5,Plate 1,G10,EnzoICCB2,SP0128,M19,Gliotoxin - protease inhibitor,ICCB Known Bioactives Library,15.3,Protease inhibitors:  Inhibitor of 20S-proteasome chymotrypsin activity,DMSO,2840,Gliotoxin - protease inhibitor
ZW-9170,Z-Leu3-VS,551.7,6-G10,6,Plate 2,G10,EnzoICCB2,SP0128,M20,Z-Leu3-VS - protease inhibitor,ICCB Known Bioactives Library,9.06,Protease inhibitors:  Proteasome inhibitor,DMSO,2840,Z-Leu3-VS - protease inhibitor
EI-295,LFM-A13,360,5-G11,5,Plate 1,G11,EnzoICCB2,SP0128,M21,LFM-A13 - kinase inhibitor,ICCB Known Bioactives Library,13.9,Kinase inhibitors:  BTK inhibitor,DMSO,2840,LFM-A13 - kinase inhibitor
EI-298,ZM336372,389.4,6-G11,6,Plate 2,G11,EnzoICCB2,SP0128,M22,ZM336372 - kinase inhibitor,ICCB Known Bioactives Library,12.8,Kinase inhibitors:  Raf inhibitor,DMSO,2840,ZM336372 - kinase inhibitor
CC-103,Methotrexate,424.5,5-H02,5,Plate 1,H02,EnzoICCB2,SP0128,O03,Methotrexate - DHFR inhibitor,ICCB Known Bioactives Library,11.8,CNS receptor ligands:  DHFR inhibitor,DMSO,2840,Methotrexate - DHFR inhibitor
P-416,zVAD-FMK,467.5,6-H02,6,Plate 2,H02,EnzoICCB2,SP0128,O04,Z-VAD-FMK - protease inhibitor,ICCB Known Bioactives Library,10.7,Protease inhibitors:  Caspase inhibitor (broad spectrum),DMSO,2840,Z-VAD-FMK - protease inhibitor
C-114,(+/-)-Epibatidine,208.7,5-H03,5,Plate 1,H03,EnzoICCB2,SP0128,O05,Epibatidine (+/-) - nicotinic cholinergic agonist,ICCB Known Bioactives Library,24,CNS receptor ligands:  nicotinic cholinergic agonist,DMSO,2840,Epibatidine (+/-) - nicotinic cholinergic agonist
EI-261,NS-398,314.4,6-H03,6,Plate 2,H03,EnzoICCB2,SP0128,O06,NS-398 - cyclooxygenase inhibitor,ICCB Known Bioactives Library,15.9,Lipid biosynthesis:  Cox-2 inhibitor,DMSO,2840,NS-398 - cyclooxygenase inhibitor
G-226,Mevinolin (Lovastatin),404.5,5-H04,5,Plate 1,H04,EnzoICCB2,SP0128,O07,Mevinolin (Lovastatin) - Inhibitor HMG-CoA reductase,ICCB Known Bioactives Library,12.4,Lipid biosynthesis:  Inhibitor HMG-CoA reductase,DMSO,2840,Mevinolin (Lovastatin) - Inhibitor HMG-CoA reductase
EI-216,AA-861,326.4,6-H04,6,Plate 2,H04,EnzoICCB2,SP0128,O08,AA-861 - lipoxygenase inhibitor,ICCB Known Bioactives Library,15.3,Lipid biosynthesis:  5-lipoxygenase inhibitor,DMSO,2840,AA-861 - lipoxygenase inhibitor
GR-311,Mitomycin C,334.3,5-H05,5,Plate 1,H05,EnzoICCB2,SP0128,O09,Mitomycin C - Inhibits DNA synthesis,ICCB Known Bioactives Library,15,Inhibitors:  cross links DNA,DMSO,2840,Mitomycin C - Inhibits DNA synthesis
A-249,Mycophenolic acid,290.4,6-H05,6,Plate 2,H05,EnzoICCB2,SP0128,O10,Mycophenolic acid - Inhibits DNA synthesis,ICCB Known Bioactives Library,17.2,Inhibitors:  Inosine-5'-monophosphate dehydrogenase inhibitor,DMSO,2840,Mycophenolic acid - Inhibits DNA synthesis
EI-197,ML7,416.3,5-H06,5,Plate 1,H06,EnzoICCB2,SP0128,O11,ML7 - kinase inhibitor,ICCB Known Bioactives Library,12,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML7 - kinase inhibitor
CT-115,Shikonin,288.3,6-H06,6,Plate 2,H06,EnzoICCB2,SP0128,O12,Shikonin - protease inhibitor,ICCB Known Bioactives Library,17.3,Inhibitors:  Apoptosis inducer; p53 dependent,DMSO,2840,Shikonin - protease inhibitor
EI-153,ML9,324.8,5-H07,5,Plate 1,H07,EnzoICCB2,SP0128,O13,ML9 - kinase,ICCB Known Bioactives Library,15.4,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML9 - kinase
AC-1557,2-APB,225.1,6-H07,6,Plate 2,H07,EnzoICCB2,SP0128,O14,2-APB - IP3 receptor blocker,ICCB Known Bioactives Library,22.2,Inhibitors:  IP3 receptor blocker,DMSO,2840,2-APB - IP3 receptor blocker
GR-322,Monastrol,292.4,5-H08,5,Plate 1,H08,EnzoICCB2,SP0128,O15,Monastrol - Eg5 inhibitor,ICCB Known Bioactives Library,17.1,Inhibitors:  Eg5 inhibitor,DMSO,2840,Monastrol - Eg5 inhibitor
EI-211,CDC,321.3,6-H08,6,Plate 2,H08,EnzoICCB2,SP0128,O16,CDC - lipoxygenase inhibitor,ICCB Known Bioactives Library,15.6,Lipid biosynthesis:  12-Lipoxygenase inhibitor,DMSO,2840,CDC - lipoxygenase inhibitor
EI-307,GW-5074,520.9,5-H09,5,Plate 1,H09,EnzoICCB2,SP0128,O17,GW-5074 - kinase inhibitor,ICCB Known Bioactives Library,9.6,Kinase inhibitors:  cRAF1 kinase inhibitor,DMSO,2840,GW-5074 - kinase inhibitor
G-237,Cerulenin,223.3,6-H09,6,Plate 2,H09,EnzoICCB2,SP0128,O18,Cerulenin - Fatty acid biosynthesis inhibitor,ICCB Known Bioactives Library,22.4,Lipid biosynthesis:  Fatty acid biosynthesis inhibitor,DMSO,2840,Cerulenin - Fatty acid biosynthesis inhibitor
A-248,Monensin,692.9,5-H10,5,Plate 1,H10,EnzoICCB2,SP0128,O19,Monensin - Na+ ionophore,ICCB Known Bioactives Library,7.22,Ion channel ligands:  Na+ ionophore,DMSO,2840,Monensin - Na+ ionophore
CA-305,Phenoxybenzamine,303.8,6-H10,6,Plate 2,H10,EnzoICCB2,SP0128,O20,Phenoxybenzamine - calmodulin inhibitor,ICCB Known Bioactives Library,16.5,Inhibitors:  Calmodulin antagonist,DMSO,2840,Phenoxybenzamine - calmodulin inhibitor
A-235,FK-506,804,5-H11,5,Plate 1,H11,EnzoICCB2,SP0128,O21,FK-506 - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,6.22,Inhibitors:  FKBP ligand,DMSO,2840,FK-506 - prolyl cis-trans isomerase inhibitor
T-126,Wiskostatin,426.1,6-H11,6,Plate 2,H11,EnzoICCB2,SP0128,O22,Wiskostatin - N-WASP inhibitor,ICCB Known Bioactives Library,11.7,Inhibitors:  N-WASP inhibitor,DMSO,2840,Wiskostatin - N-WASP inhibitor
,,,,,Plate 1,A01,EnzoICCB2,SP0128,A01,DMSOA01,,,,,,DMSOA01
,,,,,Plate 1,B01,EnzoICCB2,SP0128,C01,DMSOC01,,,,,,DMSOC01
,,,,,Plate 1,C01,EnzoICCB2,SP0128,E01,DMSOE01,,,,,,DMSOE01
,,,,,Plate 1,D01,EnzoICCB2,SP0128,G01,DMSOG01,,,,,,DMSOG01
,,,,,Plate 1,E01,EnzoICCB2,SP0128,I01,DMSOI01,,,,,,DMSOI01
,,,,,Plate 1,F01,EnzoICCB2,SP0128,K01,DMSOK01,,,,,,DMSOK01
,,,,,Plate 1,G01,EnzoICCB2,SP0128,M01,DMSOM01,,,,,,DMSOM01
,,,,,Plate 1,H01,EnzoICCB2,SP0128,O01,DMSOO01,,,,,,DMSOO01
,,,,,Plate 4,A01,EnzoICCB2,SP0128,B02,DMSOB02,,,,,,DMSOB02
,,,,,Plate 4,B01,EnzoICCB2,SP0128,D02,DMSOD02,,,,,,DMSOD02
,,,,,Plate 4,C01,EnzoICCB2,SP0128,F02,DMSOF02,,,,,,DMSOF02
,,,,,Plate 4,D01,EnzoICCB2,SP0128,H02,DMSOH02,,,,,,DMSOH02
,,,,,Plate 4,E01,EnzoICCB2,SP0128,J02,DMSOJ02,,,,,,DMSOJ02
,,,,,Plate 4,F01,EnzoICCB2,SP0128,L02,DMSOL02,,,,,,DMSOL02
,,,,,Plate 4,G01,EnzoICCB2,SP0128,N02,DMSON02,,,,,,DMSON02
,,,,,Plate 4,H01,EnzoICCB2,SP0128,P02,DMSOP02,,,,,,DMSOP02
,,,,,Plate 1,A12,EnzoICCB2,SP0128,A23,DMSOA23,,,,,,DMSOA23
,,,,,Plate 1,B12,EnzoICCB2,SP0128,C23,DMSOC23,,,,,,DMSOC23
,,,,,Plate 1,C12,EnzoICCB2,SP0128,E23,DMSOE23,,,,,,DMSOE23
,,,,,Plate 1,D12,EnzoICCB2,SP0128,G23,DMSOG23,,,,,,DMSOG23
,,,,,Plate 1,E12,EnzoICCB2,SP0128,I23,DMSOI23,,,,,,DMSOI23
,,,,,Plate 1,F12,EnzoICCB2,SP0128,K23,DMSOK23,,,,,,DMSOK23
,,,,,Plate 1,G12,EnzoICCB2,SP0128,M23,DMSOM23,,,,,,DMSOM23
,,,,,Plate 1,H12,EnzoICCB2,SP0128,O23,DMSOO23,,,,,,DMSOO23
,,,,,Plate 4,A12,EnzoICCB2,SP0128,B24,DMSOB24,,,,,,DMSOB24
,,,,,Plate 4,B12,EnzoICCB2,SP0128,D24,DMSOD24,,,,,,DMSOD24
,,,,,Plate 4,C12,EnzoICCB2,SP0128,F24,DMSOF24,,,,,,DMSOF24
,,,,,Plate 4,D12,EnzoICCB2,SP0128,H24,DMSOH24,,,,,,DMSOH24
,,,,,Plate 4,E12,EnzoICCB2,SP0128,J24,DMSOJ24,,,,,,DMSOJ24
,,,,,Plate 4,F12,EnzoICCB2,SP0128,L24,DMSOL24,,,,,,DMSOL24
,,,,,Plate 4,G12,EnzoICCB2,SP0128,N24,DMSON24,,,,,,DMSON24
,,,,,Plate 4,H12,EnzoICCB2,SP0128,P24,DMSOP24,,,,,,DMSOP24
