Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
GR-309,trichostatin-A,302.4,6-F05,6,Plate 2,F05,EnzoICCB2,SP0128,K10,ICCB Known Bioactives Library,3.30722609057434,Inhibitors:  histone deacetylase inhibitor,DMSO,2840,Trichostatin-A - Inhibitors - histone deacetylase inhibitor
AC-1142,Quercetin·2H2O,338.3,6-C05,6,Plate 2,C05,EnzoICCB2,SP0128,E10,ICCB Known Bioactives Library,2.95625074091034,Kinase inhibitors:  kinase inhibitor (plus other),DMSO,2840,Quercetin - Kinase inhibitors - kinase inhibitor (plus other)
CA-320,W7,377.3,6-G06,6,Plate 2,G06,EnzoICCB2,SP0128,M12,ICCB Known Bioactives Library,2.65020711368593,Inhibitors:  calmodulin antagonist,DMSO,2840,W7  - Inhibitors - calmodulin antagonist
EI-156,staurosporine,466.5,6-E04,6,Plate 2,E04,EnzoICCB2,SP0128,I08,ICCB Known Bioactives Library,2.14348028319662,Kinase inhibitors:  kinase inhibitor - non-selective,DMSO,2840,Staurosporine - Kinase inhibitors - kinase inhibitor - non-selective
CA-305,Phenoxybenzamine,303.8,6-H10,6,Plate 2,H10,EnzoICCB2,SP0128,O20,ICCB Known Bioactives Library,3.29135755333645,Inhibitors:  Calmodulin antagonist,DMSO,2840,Phenoxybenzamine - Inhibitors - Calmodulin antagonist
GR-325,Pifithrin-?,286.4,6-B04,6,Plate 2,B04,EnzoICCB2,SP0128,C08,ICCB Known Bioactives Library,3.49171764574429,Inhibitors:  p53 inhibitor,DMSO,2840,Pifithrin - Inhibitors - p53 inhibitor
CN-100,Forskolin,410.5,5-C07,5,Plate 1,C07,EnzoICCB2,SP0128,E13,ICCB Known Bioactives Library,2.43604647197134,Activators:  Adenylate cyclase activator,DMSO,2840,Forskolin - Activators - Adenylate cyclase activator
PI-129 ,Gliotoxin,326.4,5-G10,5,Plate 1,G10,EnzoICCB2,SP0128,M19,ICCB Known Bioactives Library,3.0638099702504,Protease inhibitors:  Inhibitor of 20S-proteasome chymotrypsin activity,DMSO,2840,Gliotoxin - Protease inhibitors - Inhibitor of 20S-proteasome chymotrypsin activity
G-410,Mastoparan,1688.6,5-G08,5,Plate 1,G08,EnzoICCB2,SP0128,M15,ICCB Known Bioactives Library,0.59222094105092,Activators:  activates heterotrimeriuc GTPases,DMSO,2840,Mastoparan - Activators - activates heterotrimeriuc GTPases
S-112,swainsonine,173.2,6-E05,6,Plate 2,E05,EnzoICCB2,SP0128,I10,ICCB Known Bioactives Library,5.7733520543896,Inhibitors:  protein glycosylation inhibitor,DMSO,2840,Swainsonine - Inhibitors - protein glycosylation inhibitor
D-100,6;7-ADTN ,179.2,5-B03,5,Plate 1,B03,EnzoICCB2,SP0128,C05,ICCB Known Bioactives Library,5.57986828162934,CNS receptor ligands:  Dopamine agonist,DMSO,2840,6;7-ADTN HBr - CNS receptor ligands - Dopamine agonist
EI-177,Manoalide,416.6,5-G06,5,Plate 1,G06,EnzoICCB2,SP0128,M11,ICCB Known Bioactives Library,2.40067045924586,Lipid biosynthesis:  Phospholipase A2 inhibitor,DMSO,2840,Manoalide - Lipid biosynthesis - Phospholipase A2 inhibitor
G-226,Mevinolin (Lovastatin),404.5,5-H04,5,Plate 1,H04,EnzoICCB2,SP0128,O07,ICCB Known Bioactives Library,2.47194588613822,Lipid biosynthesis:  Inhibitor HMG-CoA reductase,DMSO,2840,Mevinolin (Lovastatin) - Lipid biosynthesis - Inhibitor HMG-CoA reductase
T-110,Latrunculin B,395.5,5-F06,5,Plate 1,F06,EnzoICCB2,SP0128,K11,ICCB Known Bioactives Library,2.52836189960886,Inhibitors:  Actin inhibitor,DMSO,2840,Latrunculin B - Inhibitors - Actin inhibitor
EI-181,Okadaic acid,805.0,6-A04,6,Plate 2,A04,EnzoICCB2,SP0128,A08,ICCB Known Bioactives Library,0.124223154972485,Inhibitors:  PP1 PP2A inhibitor,DMSO,2840,Okadaic acid - Inhibitors - PP1 PP2A inhibitor
EI-216,AA-861,326.4,6-H04,6,Plate 2,H04,EnzoICCB2,SP0128,O08,ICCB Known Bioactives Library,3.06345049295514,Lipid biosynthesis:  5-lipoxygenase inhibitor,DMSO,2840,AA-861 - Lipid biosynthesis - 5-lipoxygenase inhibitor
ST-330,D609,210.3,5-A03,5,Plate 1,A03,EnzoICCB2,SP0128,A05,ICCB Known Bioactives Library,4.7542978852883,Lipid biosynthesis:  PC-PLC inhibitor,DMSO,2840,D609 - Lipid biosynthesis - PC-PLC inhibitor
S-109,1-Deoxymannojirimycin hydrochloride,199.6,5-A07,5,Plate 1,A07,EnzoICCB2,SP0128,A13,ICCB Known Bioactives Library,5.00919186707608,Inhibitors:  mannosidase inhibitor,DMSO,2840,Deoxymannojirimycin(1) - Inhibitors - mannosidase inhibitor
EI-148,H7,291.4,5-D04,5,Plate 1,D04,EnzoICCB2,SP0128,G07,ICCB Known Bioactives Library,3.43207410534408,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H7 - Kinase inhibitors - kinase inhibitor
CA-420,2;5-Ditertbutylhydroquinone,222.3,5-B06,5,Plate 1,B06,EnzoICCB2,SP0128,C11,ICCB Known Bioactives Library,4.49795410557508,Ion channel ligands:  ER Ca++ ATPase inhibitor,DMSO,2840,2;5-Ditertbutylhydroquinone - Ion channel ligands - ER Ca++ ATPase inhibitor
FR-103,MCI-186,174.2,5-G09,5,Plate 1,G09,EnzoICCB2,SP0128,M17,ICCB Known Bioactives Library,5.74055449163946,Inhibitors:  antioxidant; cytoprotectant,DMSO,2840,MCI-186 - Inhibitors - antioxidant; cytoprotectant
CN-200,LY-83583,250.3,5-G04,5,Plate 1,G04,EnzoICCB2,SP0128,M07,ICCB Known Bioactives Library,3.99597046338472,Inhibitors:  Inhibits NO-activation of guanylate cyclase ,DMSO,2840,LY-83583 - Inhibitors - Inhibits NO-activation of guanylate cyclase 
EI-309,NSC-95397,310.4,5-E09,5,Plate 1,E09,EnzoICCB2,SP0128,I17,ICCB Known Bioactives Library,3.22176365786159,Inhibitors:  CDC25 phosphatase inhibitor,DMSO,2840,NSC-95397 - Inhibitors - CDC25 phosphatase inhibitor
EI-152,K252A,467.5,5-E11,5,Plate 1,E11,EnzoICCB2,SP0128,I21,ICCB Known Bioactives Library,0.213916235108489,Kinase inhibitors:  Kinase inhibitor (Broad spectrum),DMSO,2840,K252A - Kinase inhibitors - Kinase inhibitor (Broad spectrum)
GR-230,24(S)-hydroxycholesterol,402.7,5-E04,5,Plate 1,E04,EnzoICCB2,SP0128,I07,ICCB Known Bioactives Library,2.48352861732773,Nuclear receptor ligands:  LXR agonist,DMSO,2840,24(S)-Hydroxycholesterol - Nuclear receptor ligands - LXR agonist
GR-233,CITCO,436.7,6-B05,6,Plate 2,B05,EnzoICCB2,SP0128,C10,ICCB Known Bioactives Library,2.28968132215358,Nuclear receptor ligands:  Const. androstane receptor (CAR) agonist,DMSO,2840,CITCO - Nuclear receptor ligands - Const. androstane receptor (CAR) agonist
AM-100,Cyclo [Arg-Gly-Asp-D-Phe-Val],574.6,6-C07,6,Plate 2,C07,EnzoICCB2,SP0128,E14,ICCB Known Bioactives Library,1.74025236791789,Inhibitors:  integrin inhibitor,DMSO,2840,Cyclo [Arg-Gly-Asp-D-Phe-Val]  - Inhibitors - integrin inhibitor
CA-302,E6 berbamine,757.8,5-B10,5,Plate 1,B10,EnzoICCB2,SP0128,C19,ICCB Known Bioactives Library,1.3195625544567,Inhibitors:  calmodulin inhibitor,DMSO,2840,E6 Berbamine - Inhibitors - calmodulin inhibitor
CN-255,Furoxan,187.2,5-F05,5,Plate 1,F05,EnzoICCB2,SP0128,K09,ICCB Known Bioactives Library,5.34316761142775,Activators:  NO donor,DMSO,2840,Furoxan - Activators - NO donor
EI-300,GM6001,388.5,5-C11,5,Plate 1,C11,EnzoICCB2,SP0128,E21,ICCB Known Bioactives Library,2.57426298207258,Protease inhibitors:  broad spectrum MMP inhibitor ,DMSO,2840,GM6001 - Protease inhibitors - broad spectrum MMP inhibitor 
EI-269,Go6976,378.4,5-D02,5,Plate 1,D02,EnzoICCB2,SP0128,G03,ICCB Known Bioactives Library,2.6425252605596,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Go6976 - Kinase inhibitors - PKC inhibitor
EI-273,HBDDE,338.3,5-D09,5,Plate 1,D09,EnzoICCB2,SP0128,G17,ICCB Known Bioactives Library,2.95587499368182,Kinase inhibitors:  PKC inhibitor,DMSO,2840,HBDDE - Kinase inhibitors - PKC inhibitor
EI-248,HNMPA-(AM)3,454.4,5-D11,5,Plate 1,D11,EnzoICCB2,SP0128,G21,ICCB Known Bioactives Library,2.2008766531885,Kinase inhibitors:  Insulin receptor TK inhibitor,DMSO,2840,HNMPA-(AM)3 - Kinase inhibitors - Insulin receptor TK inhibitor
CC-207,Indirubin-3'-monoxime,277.3,6-D05,6,Plate 2,D05,EnzoICCB2,SP0128,G10,ICCB Known Bioactives Library,3.60649659871306,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin-3'-monoxime - Kinase inhibitors - GSK-3beta inhibitor
G-242,L-744;832,559.8,5-F04,5,Plate 1,F04,EnzoICCB2,SP0128,K07,ICCB Known Bioactives Library,1.78640970949405,Inhibitors:  Ras farnesyltransferase inhibitor,DMSO,2840,L-744;832 - Inhibitors - Ras farnesyltransferase inhibitor
EI-295,LFM-A13,360.0,5-G11,5,Plate 1,G11,EnzoICCB2,SP0128,M21,ICCB Known Bioactives Library,2.77777006174983,Kinase inhibitors:  BTK inhibitor,DMSO,2840,LFM-A13 - Kinase inhibitors - BTK inhibitor
FR-107,MnTBAP,879.1,5-B09,5,Plate 1,B09,EnzoICCB2,SP0128,C17,ICCB Known Bioactives Library,1.1374636153826,Inhibitors:  SOD mimetic,DMSO,2840,MnTBAP - Inhibitors - SOD mimetic
GR-322,Monastrol,292.4,5-H08,5,Plate 1,H08,EnzoICCB2,SP0128,O15,ICCB Known Bioactives Library,3.4205224505991,Inhibitors:  Eg5 inhibitor,DMSO,2840,Monastrol - Inhibitors - Eg5 inhibitor
CC-202,N9-Isopropylolomoucine,326.4,5-F08,5,Plate 1,F08,EnzoICCB2,SP0128,K15,ICCB Known Bioactives Library,3.06376115898408,Kinase inhibitors:  CDC-2 kinase inhibitor,DMSO,2840,N9-Isopropylolomoucine - Kinase inhibitors - CDC-2 kinase inhibitor
ST-315,OBAA,428.6,6-A03,6,Plate 2,A03,EnzoICCB2,SP0128,A06,ICCB Known Bioactives Library,2.332920872923,Inhibitors:  phospholipase A2 inhibitor,DMSO,2840,OBAA - Inhibitors - phospholipase A2 inhibitor
L-133,PCA 4248,361.5,6-A08,6,Plate 2,A08,EnzoICCB2,SP0128,A16,ICCB Known Bioactives Library,2.76659611846565,Bioactive lipids:  PAF antagonist,DMSO,2840,PCA 4248 - Bioactive lipids - PAF antagonist
EI-275,PP1,281.4,6-B08,6,Plate 2,B08,EnzoICCB2,SP0128,C16,ICCB Known Bioactives Library,3.55422106402005,Protease inhibitors:  src family trosine kinase inhibitor,DMSO,2840,PP1 - Protease inhibitors - src family trosine kinase inhibitor
EI-297,PP2,301.8,6-D10,6,Plate 2,D10,EnzoICCB2,SP0128,G20,ICCB Known Bioactives Library,3.31373809539589,Kinase inhibitors:  Src family tyrosine kinase inhibitor,DMSO,2840,PP2 - Kinase inhibitors - Src family tyrosine kinase inhibitor
PR-110,RWJ-60475-(AM)3,620.3,6-D02,6,Plate 2,D02,EnzoICCB2,SP0128,G04,ICCB Known Bioactives Library,1.61213616102016,Inhibitors:  CD45 phosphatase inhibitor,DMSO,2840,RWJ-60475-(AM)3 - Inhibitors - CD45 phosphatase inhibitor
EI-294,SB 202190,331.3,6-D04,6,Plate 2,D04,EnzoICCB2,SP0128,G08,ICCB Known Bioactives Library,3.01801969016406,Kinase inhibitors:  MAP kinase inhibitor,DMSO,2840,SB 202190 - Kinase inhibitors - MAP kinase inhibitor
GR-331,Splitomycin,198.2,6-D09,6,Plate 2,D09,EnzoICCB2,SP0128,G18,ICCB Known Bioactives Library,5.04496832516637,Inhibitors:  sir2p inhibitor,DMSO,2840,Splitomycin - Inhibitors - sir2p inhibitor
EI-263,tyrphostin AG-126,215.2,6-F09,6,Plate 2,F09,EnzoICCB2,SP0128,K18,ICCB Known Bioactives Library,4.64759603095299,Kinase inhibitors:  tyrosine kinase inhibitor,DMSO,2840,Tyrphostin AG-126 - Kinase inhibitors - tyrosine kinase inhibitor
EI-267,tyrphostin AG-825,397.5,6-F02,6,Plate 2,F02,EnzoICCB2,SP0128,K04,ICCB Known Bioactives Library,2.51590682087498,Kinase inhibitors:  HER-1;2 tyrosine kinase inhibitor,DMSO,2840,Tyrphostin AG-825 - Kinase inhibitors - HER-1;2 tyrosine kinase inhibitor
PR-113,Tyrphostin-8,170.2,5-F11,5,Plate 1,F11,EnzoICCB2,SP0128,K21,ICCB Known Bioactives Library,5.87656625182027,Inhibitors:  Calcineurin inhibitor,DMSO,2840,Tyrphostin-8 - Inhibitors - Calcineurin inhibitor
EI-282,U-0126,380.5,6-G03,6,Plate 2,G03,EnzoICCB2,SP0128,M06,ICCB Known Bioactives Library,2.62818996557071,Kinase inhibitors:  MEK inhibitor,DMSO,2840,U-0126 - Kinase inhibitors - MEK inhibitor
T-126,Wiskostatin,426.1,6-H11,6,Plate 2,H11,EnzoICCB2,SP0128,O22,ICCB Known Bioactives Library,2.34661360191108,Inhibitors:  N-WASP inhibitor,DMSO,2840,Wiskostatin - Inhibitors - N-WASP inhibitor
CN-223,YC-1,304.3,5-A05,5,Plate 1,A05,EnzoICCB2,SP0128,A09,ICCB Known Bioactives Library,3.28577178672055,Activators:  GC stimulator /  Hif-1 alpha inhibitor ,DMSO,2840,YC-1 - Activators - GC stimulator /  Hif-1 alpha inhibitor 
ZW-9170,Z-Leu3-VS,551.7,6-G10,6,Plate 2,G10,EnzoICCB2,SP0128,M20,ICCB Known Bioactives Library,1.81245446208164,Protease inhibitors:  Proteasome inhibitor,DMSO,2840,Z-Leu3-VS - Protease inhibitors - Proteasome inhibitor
EI-298,ZM336372,389.4,6-G11,6,Plate 2,G11,EnzoICCB2,SP0128,M22,ICCB Known Bioactives Library,2.56774349269605,Kinase inhibitors:  Raf inhibitor,DMSO,2840,ZM336372 - Kinase inhibitors - Raf inhibitor
P-416,zVAD-FMK,467.5,6-H02,6,Plate 2,H02,EnzoICCB2,SP0128,O04,ICCB Known Bioactives Library,2.13909279790985,Protease inhibitors:  Caspase inhibitor (broad spectrum),DMSO,2840,Z-VAD-FMK - Protease inhibitors - Caspase inhibitor (broad spectrum)
